Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,META,NVDA,SPY,AAPL,AMZN,META,NVDA,SPY,AAPL,AMZN,META,NVDA,SPY,AAPL,AMZN,META,NVDA,SPY,AAPL,AMZN,META,NVDA,SPY,AAPL,AMZN,META,NVDA,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,124.21630096435547,85.81999969482422,124.6077880859375,143.0797882080078,373.9568176269531,125.06999969482422,85.81999969482422,124.73999786376953,143.14999389648438,380.82000732421875,130.89999389648438,86.95999908447266,126.37000274658203,149.9600067138672,386.42999267578125,124.16999816894531,84.20999908447266,122.27999877929688,140.9600067138672,377.8299865722656,130.27999877929688,85.45999908447266,122.81999969482422,148.50999450683594,384.3699951171875,112117500,76706000,35528500,40127700,74850700
2023-01-04,125.49750518798828,85.13999938964844,127.2350082397461,147.41769409179688,376.84381103515625,126.36000061035156,85.13999938964844,127.37000274658203,147.49000549316406,383.760009765625,128.66000366210938,86.9800033569336,129.0500030517578,148.52999877929688,385.8800048828125,125.08000183105469,83.36000061035156,125.8499984741211,142.41000366210938,380.0,126.88999938964844,86.55000305175781,127.37999725341797,145.6699981689453,383.17999267578125,89113600,68885100,32397100,43132400,85934100
2023-01-05,124.16664123535156,83.12000274658203,126.80545806884766,142.5800323486328,372.542724609375,125.0199966430664,83.12000274658203,126.94000244140625,142.64999389648438,379.3800048828125,127.7699966430664,85.41999816894531,128.52000427246094,145.63999938964844,381.8399963378906,124.76000213623047,83.06999969482422,124.54000091552734,141.47999572753906,378.760009765625,127.12999725341797,85.33000183105469,126.12999725341797,144.91000366210938,381.7200012207031,80962700,67930800,25447100,38916800,76970500
2023-01-06,128.7352294921875,86.08000183105469,129.8822021484375,148.51712036132812,381.0859069824219,129.6199951171875,86.08000183105469,130.02000427246094,148.58999633789062,388.0799865722656,130.2899932861328,86.4000015258789,130.3300018310547,150.10000610351562,389.25,124.88999938964844,81.43000030517578,126.04000091552734,140.33999633789062,379.4100036621094,126.01000213623047,83.02999877929688,128.97000122070312,144.74000549316406,382.6099853515625,87754700,83303400,27584500,40504400,104189600
2023-01-09,129.26162719726562,87.36000061035156,129.33277893066406,156.20335388183594,380.86993408203125,130.14999389648438,87.36000061035156,129.47000122070312,156.27999877929688,387.8599853515625,133.41000366210938,89.4800033569336,132.9499969482422,160.55999755859375,393.70001220703125,129.88999938964844,87.08000183105469,129.27999877929688,151.41000366210938,387.6700134277344,130.47000122070312,87.45999908447266,131.16000366210938,152.83999633789062,390.3699951171875,70790800,65266100,26649100,50423100,73978100
2023-01-10,129.83766174316406,89.87000274658203,132.8490447998047,159.01197814941406,383.5408935546875,130.72999572753906,89.87000274658203,132.99000549316406,159.08999633789062,390.5799865722656,131.25999450683594,90.19000244140625,133.44000244140625,159.6199951171875,390.6499938964844,128.1199951171875,87.29000091552734,127.1500015258789,154.72000122070312,386.2699890136719,130.25999450683594,87.56999969482422,127.2699966430664,155.07000732421875,387.25,63896200,67756600,28684400,38410100,65358100
2023-01-11,132.578857421875,95.08999633789062,132.7491455078125,159.9315185546875,388.391845703125,133.49000549316406,95.08999633789062,132.88999938964844,160.00999450683594,395.5199890136719,133.50999450683594,95.26000213623047,133.85000610351562,160.27999877929688,395.6000061035156,130.4600067138672,90.93000030517578,130.33999633789062,155.6300048828125,391.3800048828125,131.25,90.93000030517578,130.9600067138672,158.39999389648438,392.2300109863281,69458900,103126200,25423000,35328500,68881100
2023-01-12,132.4993896484375,95.2699966430664,136.5651092529297,165.02902221679688,389.805908203125,133.41000366210938,95.2699966430664,136.7100067138672,165.11000061035156,396.9599914550781,134.25999450683594,97.19000244140625,137.67999267578125,166.3699951171875,398.489990234375,131.44000244140625,93.5,131.75999450683594,154.9199981689453,392.4200134277344,133.8800048828125,96.93000030517578,133.44000244140625,161.0,396.6700134277344,71379600,85254800,30757700,55140900,90157700
2023-01-13,133.8401641845703,98.12000274658203,136.83480834960938,168.90713500976562,391.31817626953125,134.75999450683594,98.12000274658203,136.97999572753906,168.99000549316406,398.5,134.9199981689453,98.37000274658203,137.38999938964844,169.22000122070312,399.1000061035156,131.66000366210938,94.12000274658203,134.83999633789062,161.64999389648438,393.3399963378906,132.02999877929688,94.18000030517578,134.97000122070312,162.77999877929688,393.6199951171875,57809700,85549400,22423800,44728700,63903900
2023-01-17,135.01210021972656,96.05000305175781,135.21653747558594,176.93319702148438,390.6013488769531,135.94000244140625,96.05000305175781,135.36000061035156,177.02000427246094,397.7699890136719,137.2899932861328,98.88999938964844,136.75,177.27999877929688,400.2300109863281,134.1300048828125,95.7300033569336,134.25,168.99000549316406,397.05999755859375,134.8300018310547,98.68000030517578,136.17999267578125,168.99000549316406,398.4800109863281,63646600,72755000,21147600,51110200,62677300
2023-01-18,134.28707885742188,95.45999908447266,132.87901306152344,173.68479919433594,384.43450927734375,135.2100067138672,95.45999908447266,133.02000427246094,173.77000427246094,391.489990234375,138.61000061035156,99.31999969482422,137.25,178.72999572753906,400.1199951171875,135.02999877929688,95.37999725341797,132.8000030517578,172.82000732421875,391.2799987792969,136.82000732421875,97.25,135.80999755859375,176.6699981689453,399.010009765625,69672800,79570400,20215500,43962400,99632300
2023-01-19,134.3466796875,93.68000030517578,136.0056915283203,167.56777954101562,381.6358947753906,135.27000427246094,93.68000030517578,136.14999389648438,167.64999389648438,388.6400146484375,136.25,95.44000244140625,137.4499969482422,171.97000122070312,391.0799865722656,133.77000427246094,92.86000061035156,132.13999938964844,167.30999755859375,387.260009765625,134.0800018310547,94.73999786376953,132.49000549316406,170.36000061035156,389.3599853515625,58280400,69002700,28625200,45293200,86958900
2023-01-20,136.92893981933594,97.25,139.22227478027344,178.30252075195312,388.74542236328125,137.8699951171875,97.25,139.3699951171875,178.38999938964844,395.8800048828125,138.02000427246094,97.3499984741211,139.94000244140625,178.55999755859375,396.0400085449219,134.22000122070312,93.19999694824219,134.61000061035156,168.25,388.3800048828125,135.27999877929688,93.86000061035156,135.88999938964844,170.11000061035156,390.1000061035156,80223600,67481500,28688600,56496700,91806400
2023-01-23,140.14682006835938,97.5199966430664,143.11814880371094,191.8358917236328,393.4098205566406,141.11000061035156,97.5199966430664,143.27000427246094,191.92999267578125,400.6300048828125,143.32000732421875,97.77999877929688,143.75999450683594,192.4499969482422,402.6499938964844,137.89999389648438,95.86000061035156,138.66000366210938,178.17999267578125,395.7200012207031,138.1199951171875,97.55999755859375,139.2899932861328,180.63999938964844,396.7200012207031,81760300,76501100,27470100,65516300,84178800
2023-01-24,141.55711364746094,96.31999969482422,142.98828125,192.55552673339844,392.987548828125,142.52999877929688,96.31999969482422,143.13999938964844,192.64999389648438,400.20001220703125,143.16000366210938,98.08999633789062,145.0,194.9499969482422,401.1499938964844,140.3000030517578,96.0,141.36000061035156,188.1999969482422,397.6400146484375,140.30999755859375,96.93000030517578,141.69000244140625,188.27000427246094,398.8800048828125,66435100,66929500,21970200,49620400,59524900
2023-01-25,140.89170837402344,97.18000030517578,141.3500213623047,193.13523864746094,393.1347961425781,141.86000061035156,97.18000030517578,141.5,193.22999572753906,400.3500061035156,142.42999267578125,97.23999786376953,143.1699981689453,193.6999969482422,400.70001220703125,138.80999755859375,91.5199966430664,140.30999755859375,185.8000030517578,393.55999755859375,140.88999938964844,92.55999755859375,141.22000122070312,189.1300048828125,395.95001220703125,65799300,94261600,26622000,44953700,84800300
